Neuroblast,Notch,HL,NT,Marker_1,Marker_2,Marker_3
NB1-1,on,16A,,,,
,off,16B,Glu,Hb9,Lim3,
NB1-2,on,01A,Ach,Msh,,
,off,01B,GABA,Nmr1,,
NB2-1,on,02A,Glu,,,
,off,02B,,,,
NB2-2,on,10A,,,,
,off,10B,Ach,Hb9,Lim3,Nkx6
NB2-3,on,15A,,,,
,off,15B,Glu,Lim3,,Nkx6
NB2-4,on,18A,,,,
,off,18B,Ach,Unc-4,,
NB2-5,on,17A,Ach,Unc-4,Isl,
,off,17B,,,,
NB3-1,on,04A,,,,
,off,04B,Ach,Hb9,Nkx6,Ap
NB3-2,on,07A,,,,
,off,07B,Ach,Unc-4,,
NB3-3,on,08A,Glu,Ey,Ems,
,off,08B,Ach,Lim3,Acj6,
NB3-4,on,NaN,,,,
,off,NaN,,,,
NB3-5,on,09A,GABA,Msh,,
,off,09B,Glu,,,
NB4-1,on,14A,Glu,Msh,,
,off,14B,,,,
NB4-2,on,13A,GABA,Dbx,,
,off,13B,GABA,Dbx,VG,
NB4-3,on,21A,Glu,Ey,Msh,
,off,21B,,,,
NB4-4,on,24A,,,,
,off,24B,Glu,Ems,Toy,
NB5-1,on,NaN,,,,
,off,NaN,,,,
NB5-2,on,06A,GABA,,,
,off,06B,GABA,Vg,En,
NB5-3,on,05A,,,,
,off,05B,GABA,Vg,,
NB5-4,on,20A,Ach,BarH,,
,off,20B,,,,
NB5-5,on,NaN,,,,
,off,NaN,,,,
NB5-6,on,NaN,,,,
,off,NaN,,,,
NB5-7,on ,22A,Ach,BarH,,
,off,22B,,,,
NB6-1,on,12A,Ach,Unc-4,,
,off,12B,GABA,Nmr1,Nkx6,
NB6-2,on,19A,GABA,Dbx,,
,off,19B,Ach,Unc-4,,
NB6-4,on,NaN,,,,
,off,NaN,,,,
NB7-1,on,03A,Ach,Nmr1,Nkx6,
,off,03B,GABA,Dbx,,
NB7-2,on,11A,Ach,Nkx6,Unc-4,
,off,11B,GABA,Eve,,
NB7-3,on,NaN,,,,
,off,NaN,,,,
NB7-4,on,23A,,,,
,off,23B,Ach,Acj6,Unc-4,
MNB,on,00A,GABA,EN,,
