Neuroblast,Notch,HL,NT,Marker_1,Marker_2,Marker_3
NB1-1,on,16A,,,,
NB1-1,off,16B,Glu,Hb9,Lim3,
NB1-2,on,1A,Ach,Msh,,
NB1-2,off,1B,GABA,Nmr1,,
NB2-1,on,2A,Glu,,,
NB2-1,off,2B,,,,
NB2-2,on,10A,,,,
NB2-2,off,10B,Ach,Hb9,Lim3,Nkx6
NB2-3,on,15A,,,,
NB2-3,off,15B,Glu,Lim3,,Nkx6
NB2-4,on,18A,,,,
NB2-4,off,18B,Ach,Unc-4,,
NB2-5,on,17A,Ach,Unc-4,Isl,
NB2-5,off,17B,,,,
NB3-1,on,4A,,,,
NB3-1,off,4B,Ach,Hb9,Nkx6,Ap
NB3-2,on,7A,,,,
NB3-2,off,7B,Ach,Unc-4,,
NB3-3,on,8A,Glu,Ey,Ems,
NB3-3,off,8B,Ach,Lim3,Acj6,
NB3-4,on,NaN,,,,
NB3-4,off,NaN,,,,
NB3-5,on,9A,GABA,Msh,,
NB3-5,off,9B,Glu,,,
NB4-1,on,14A,Glu,Msh,,
NB4-1,off,14B,,,,
NB4-2,on,13A,GABA,Dbx,,
NB4-2,off,13B,GABA,Dbx,VG,
NB4-3,on,21A,Glu,Ey,Msh,
NB4-3,off,21B,,,,
NB4-4,on,24A,,,,
NB4-4,off,24B,Glu,Ems,Toy,
NB5-1,on,NaN,,,,
NB5-1,off,NaN,,,,
NB5-2,on,6A,GABA,,,
NB5-2,off,6B,GABA,Vg,En,
NB5-3,on,5A,,,,
NB5-3,off,5B,GABA,Vg,,
NB5-4,on,20A,Ach,BarH,,
NB5-4,off,20B,,,,
NB5-5,on,NaN,,,,
NB5-5,off,NaN,,,,
NB5-6,on,NaN,,,,
NB5-6,off,NaN,,,,
NB5-7,on ,22A,Ach,BarH,,
NB5-7,off,22B,,,,
NB6-1,on,12A,Ach,Unc-4,,
NB6-1,off,12B,GABA,Nmr1,Nkx6,
NB6-2,on,19A,GABA,Dbx,,
NB6-2,off,19B,Ach,Unc-4,,
NB6-4,on,NaN,,,,
NB6-4,off,NaN,,,,
NB7-1,on,3A,Ach,Nmr1,Nkx6,
NB7-1,off,3B,GABA,Dbx,,
NB7-2,on,11A,Ach,Nkx6,Unc-4,
NB7-2,off,11B,GABA,Eve,,
NB7-3,on,NaN,,,,
NB7-3,off,NaN,,,,
NB7-4,on,23A,,,,
NB7-4,off,23B,Ach,Acj6,Unc-4,
MNB,on,0A,GABA,EN,,
