,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position,side
0,1,2022-11-30 17:07:21.586041+00:00,,t,PDMN_L,DLM_1,72624531264718610,648518346486629017,[ 17992 120088   2996],L
1,2,2022-11-30 17:07:21.586847+00:00,,t,PDMN_L,DLM_2,72554162520753862,648518346515087943,[ 14528 119848   3036],L
2,3,2022-11-30 17:07:21.587651+00:00,,t,PDMN_L,DLM_3,72413355843006275,648518346486563887,[ 11016 118512   2103],L
3,4,2022-11-30 17:07:21.588438+00:00,,t,PDMN_L,DLM_4,72483793575108971,648518346494250631,[ 13152 120160   2610],L
4,5,2022-11-30 17:07:21.589212+00:00,,t,PDMN_L,DLM_5,73750361378386281,648518346472269618,[ 49280 117624    915],L
5,6,2022-11-30 17:07:21.590002+00:00,,t,ADMN_L,DVM_1a,72343193727152358,648518346492294527,[ 10168 123880   3051],L
6,7,2022-11-30 17:07:21.590765+00:00,,t,ADMN_L,DVM_1b,72554300228150196,648518346492384195,[ 15656 124768   3554],L
7,8,2022-11-30 17:07:21.591548+00:00,,t,ADMN_L,DVM_1c,72343193324512057,648518346503730081,[  9592 124780   2275],L
8,9,2022-11-30 17:07:21.592324+00:00,,t,mesoAN_L,DVM_2a,72766574087639379,648518346499049025,[ 21040 158184   2338],L
9,10,2022-11-30 17:07:21.593091+00:00,,t,mesoAN_L,DVM_2b,72696136355640609,648518346509427075,[ 20472 155752   1872],L
10,11,2022-11-30 17:07:21.594113+00:00,,t,PDMN_L,DVM_3a,72413355641879128,648518346512153646,[ 10304 118496   1778],L
11,12,2022-11-30 17:07:21.594885+00:00,,t,PDMN_L,DVM_3b,72413287056445912,648518346488827114,[ 11568 116472   1959],L
12,13,2022-11-30 17:07:21.595663+00:00,,t,ADMN_L,b1,72554300093713576,648518346501373528,[ 14352 124520   3230],L
13,14,2022-11-30 17:07:21.596441+00:00,,t,ADMN_L,b2,72483999666645459,648518346493634040,[ 12352 124968   2555],L
14,15,2022-11-30 17:07:21.597210+00:00,,t,ADMN_L,hg1_u,72624806276928412,648518346515574010,[ 17608 128080   3257],L
15,16,2022-11-30 17:07:21.597970+00:00,,t,ADMN_L,i1,72484068587289193,648518346470491902,[ 12540 127868   2878],L
16,17,2022-11-30 17:07:21.598739+00:00,,t,ADMN_L,i2_u,72554506319361420,648518346499256923,[ 15856 130312   3385],L
17,18,2022-11-30 17:07:21.599510+00:00,,t,mesoAN_L,iii1,72696205142336560,648518346488622926,[ 20352 157736   2039],L
18,19,2022-11-30 17:07:21.600283+00:00,,t,mesoAN_L,iii3,72837011417275815,648518346509604297,[ 23512 160472   2125],L
19,20,2022-11-30 17:07:21.601054+00:00,,t,mesoAN_L,iii4a_u,72766505032750126,648518346482131604,[ 21608 156672   1725],L
20,22,2022-11-30 17:07:21.602569+00:00,,t,ADMN_L,b3_u,72484137441036366,648518346471876251,[ 14104 129624   3146],L
21,26,2022-11-30 17:07:21.605759+00:00,,t,mesoAN_L,PSn_u,72907242990797785,648518346492244419,[ 26432 156112   2594],L
22,27,2022-11-30 17:07:21.606522+00:00,,t,mesoAN_L,PS1,72413837282052690,648518346497125761,[ 10864 132656   2863],L
23,28,2022-11-30 17:07:21.607272+00:00,,t,mesoAN_L,PS2,72343537190138782,648518346472953700,[  9368 134632   2704],L
24,29,2022-11-30 17:07:21.608028+00:00,,t,ADMN_L,tp2,72624874929378761,648518346486682876,[ 16584 130940   3157],L
25,30,2022-11-30 17:07:21.608765+00:00,,t,ADMN_L,dtpmn_u,72554437331593875,648518346490085915,[ 15288 128792   2924],L
67,75,2022-12-09 23:38:21.531209+00:00,,t,mesoAN_L,hg4,72836942630431876,648518346480882144,[ 23136 158112   1935],L
68,76,2022-12-09 23:38:21.687355+00:00,,t,ADMN_L,tpn,72554299959457612,648518346487480490,[ 14384 123344   2959],L
69,77,2022-12-09 23:38:21.709770+00:00,,t,ADMN_L,hg3,72624737691698270,648518346492294783,[ 16480 126656   3508],L
70,78,2022-12-09 23:38:21.728759+00:00,,t,ADMN_L,hg2,72624737356439120,648518346492048172,[ 16536 126112   2945],L
