pre_pt_root_id,pre_pt_root_id
648518346480786912,648518346480786912
648518346504777587,648518346504777587
648518346472310834,648518346472310834
648518346503916128,648518346503916128
648518346475807714,648518346475807714
648518346478664788,648518346478664788
648518346489573207,648518346489573207
648518346478901712,648518346478901712
648518346481497281,648518346481497281
648518346487667179,648518346487667179
648518346509501827,648518346509501827
648518346499891340,648518346499891340
648518346507138376,648518346507138376
648518346518672607,648518346518672607
648518346483226532,648518346483226532
648518346518279510,648518346518279510
648518346499424743,648518346499424743
648518346494274951,648518346494274951
648518346477524188,648518346477524188
648518346513903385,648518346513903385
648518346514279390,648518346514279390
648518346489650124,648518346489650124
648518346494305906,648518346494305906
648518346475470004,648518346475470004
648518346481775549,648518346481775549
648518346493141056,648518346493141056
648518346493578609,648518346493578609
648518346500650675,648518346500650675
648518346486134920,648518346486134920
648518346498472688,648518346498472688
648518346495700880,648518346495700880
648518346501836394,648518346501836394
648518346477659031,648518346477659031
648518346495716752,648518346495716752
648518346494726059,648518346494726059
648518346499793107,648518346499793107
648518346500776553,648518346500776553
648518346481281125,648518346481281125
648518346497538806,648518346497538806
648518346496109068,648518346496109068
648518346531123482,648518346531123482
648518346487290282,648518346487290282
648518346487696107,648518346487696107
648518346491931436,648518346491931436
648518346492941042,648518346492941042
648518346517453892,648518346517453892
648518346459598852,648518346459598852
648518346480712672,648518346480712672
648518346502340775,648518346502340775
648518346513921305,648518346513921305
648518346495850315,648518346495850315
648518346491596712,648518346491596712
648518346501713737,648518346501713737
648518346478053077,648518346478053077
648518346497713142,648518346497713142
648518346497622518,648518346497622518
648518346511777471,648518346511777471
648518346524159237,648518346524159237
648518346476760080,648518346476760080
648518346486599117,648518346486599117
648518346498079130,648518346498079130
648518346489858743,648518346489858743
648518346493591665,648518346493591665
648518346501320024,648518346501320024
648518346501764714,648518346501764714
648518346501832554,648518346501832554
648518346489779127,648518346489779127
648518346475412065,648518346475412065
648518346480685533,648518346480685533
648518346511920063,648518346511920063
648518346476693264,648518346476693264
648518346500738972,648518346500738972
648518346494921866,648518346494921866
648518346495880011,648518346495880011
648518346491005048,648518346491005048
648518346517715560,648518346517715560
648518346493053426,648518346493053426
648518346475147064,648518346475147064
648518346499829388,648518346499829388
648518346510960770,648518346510960770
648518346488848397,648518346488848397
648518346494325269,648518346494325269
648518346489772887,648518346489772887
648518346480133030,648518346480133030
648518346470309374,648518346470309374
648518346459520004,648518346459520004
648518346500565427,648518346500565427
648518346490882081,648518346490882081
648518346470346238,648518346470346238
648518346518572767,648518346518572767
648518346492458683,648518346492458683
648518346489369708,648518346489369708
648518346517438244,648518346517438244
648518346504153324,648518346504153324
648518346488790001,648518346488790001
648518346493966839,648518346493966839
648518346472167218,648518346472167218
648518346496825752,648518346496825752
648518346509133434,648518346509133434
648518346486616781,648518346486616781
648518346499303655,648518346499303655
648518346499176030,648518346499176030
648518346483521455,648518346483521455
648518346480257339,648518346480257339
648518346494625781,648518346494625781
648518346478779344,648518346478779344
648518346482717414,648518346482717414
648518346486183522,648518346486183522
648518346492372153,648518346492372153
648518346503920590,648518346503920590
648518346486152352,648518346486152352
648518346486183304,648518346486183304
648518346497698151,648518346497698151
648518346510931586,648518346510931586
648518346517643368,648518346517643368
648518346485807556,648518346485807556
648518346491753583,648518346491753583
648518346489423212,648518346489423212
648518346507038024,648518346507038024
648518346496163959,648518346496163959
648518346496964012,648518346496964012
648518346509018234,648518346509018234
648518346475784418,648518346475784418
648518346494730667,648518346494730667
648518346492991152,648518346492991152
648518346481494943,648518346481494943
648518346492176255,648518346492176255
648518346485645950,648518346485645950
648518346485765060,648518346485765060
648518346488512590,648518346488512590
648518346495287887,648518346495287887
648518346496855192,648518346496855192
648518346477796053,648518346477796053
648518346499996678,648518346499996678
648518346493704817,648518346493704817
648518346480214075,648518346480214075
648518346479726324,648518346479726324
648518346492770478,648518346492770478
648518346515055943,648518346515055943
648518346479708404,648518346479708404
648518346459693060,648518346459693060
648518346489888283,648518346489888283
648518346499877587,648518346499877587
648518346514032921,648518346514032921
648518346515433210,648518346515433210
648518346491459496,648518346491459496
648518346517613160,648518346517613160
648518346472982628,648518346472982628
648518346481633725,648518346481633725
648518346493969465,648518346493969465
648518346476867528,648518346476867528
648518346487609666,648518346487609666
648518346487781911,648518346487781911
648518346487354026,648518346487354026
648518346494792586,648518346494792586
648518346499690892,648518346499690892
648518346472251186,648518346472251186
648518346488768234,648518346488768234
648518346480845056,648518346480845056
648518346496695524,648518346496695524
648518346500350168,648518346500350168
648518346520612150,648518346520612150
648518346496641076,648518346496641076
648518346497168664,648518346497168664
648518346500703081,648518346500703081
648518346496734253,648518346496734253
648518346497897370,648518346497897370
648518346493903115,648518346493903115
648518346523998981,648518346523998981
648518346490473469,648518346490473469
648518346459681796,648518346459681796
648518346502749171,648518346502749171
648518346486561071,648518346486561071
648518346475224929,648518346475224929
648518346494579883,648518346494579883
648518346494744491,648518346494744491
648518346466919406,648518346466919406
648518346481509279,648518346481509279
648518346485817796,648518346485817796
648518346492490683,648518346492490683
648518346520017233,648518346520017233
648518346485760708,648518346485760708
648518346476980936,648518346476980936
648518346485793988,648518346485793988
648518346481234063,648518346481234063
648518346489632460,648518346489632460
648518346503852384,648518346503852384
648518346474401218,648518346474401218
648518346483527087,648518346483527087
648518346483943965,648518346483943965
648518346498315569,648518346498315569
648518346501770090,648518346501770090
648518346515109959,648518346515109959
648518346479825046,648518346479825046
648518346483594671,648518346483594671
648518346489441900,648518346489441900
648518346500236348,648518346500236348
648518346524008453,648518346524008453
648518346479771877,648518346479771877
648518346480776448,648518346480776448
648518346507132959,648518346507132959
648518346507275129,648518346507275129
648518346515586378,648518346515586378
648518346466923758,648518346466923758
648518346496396924,648518346496396924
648518346502963443,648518346502963443
648518346503563169,648518346503563169
648518346500928361,648518346500928361
648518346485805764,648518346485805764
648518346493047282,648518346493047282
648518346507123743,648518346507123743
648518346478473844,648518346478473844
648518346483147172,648518346483147172
648518346488543822,648518346488543822
648518346503911630,648518346503911630
648518346501660489,648518346501660489
648518346501086307,648518346501086307
648518346472919396,648518346472919396
648518346481626527,648518346481626527
648518346486104162,648518346486104162
648518346509757242,648518346509757242
648518346484402947,648518346484402947
648518346502979963,648518346502979963
648518346474348738,648518346474348738
648518346495435938,648518346495435938
648518346498258770,648518346498258770
648518346491925615,648518346491925615
648518346494742005,648518346494742005
648518346475736802,648518346475736802
648518346495523947,648518346495523947
648518346478454900,648518346478454900
648518346499136862,648518346499136862
648518346475390132,648518346475390132
648518346490023963,648518346490023963
648518346507219999,648518346507219999
648518346489897499,648518346489897499
648518346493006834,648518346493006834
648518346504456940,648518346504456940
648518346480944128,648518346480944128
648518346492203971,648518346492203971
648518346499898067,648518346499898067
648518346499689868,648518346499689868
648518346495942502,648518346495942502
648518346491963154,648518346491963154
648518346472175922,648518346472175922
648518346488428425,648518346488428425
648518346486617084,648518346486617084
648518346496188791,648518346496188791
648518346498307860,648518346498307860
648518346478556500,648518346478556500
648518346476823752,648518346476823752
648518346486658457,648518346486658457
648518346498948929,648518346498948929
648518346479102865,648518346479102865
648518346494636459,648518346494636459
648518346474455746,648518346474455746
648518346488460984,648518346488460984
648518346493034780,648518346493034780
648518346498376176,648518346498376176
648518346474413250,648518346474413250
648518346504284908,648518346504284908
648518346496164215,648518346496164215
648518346481212815,648518346481212815
648518346479276498,648518346479276498
648518346493905952,648518346493905952
648518346492421049,648518346492421049
648518346472927588,648518346472927588
648518346478491508,648518346478491508
648518346487385258,648518346487385258
648518346494703267,648518346494703267
648518346496237909,648518346496237909
648518346486491105,648518346486491105
648518346495420578,648518346495420578
648518346484587853,648518346484587853
648518346497042049,648518346497042049
648518346493068352,648518346493068352
648518346513890841,648518346513890841
648518346501358691,648518346501358691
648518346500502963,648518346500502963
648518346495740747,648518346495740747
648518346489540879,648518346489540879
648518346513833753,648518346513833753
648518346481252751,648518346481252751
648518346477792749,648518346477792749
648518346511103541,648518346511103541
648518346483058340,648518346483058340
